Words,PCA dimension 0,PCA dimension 1,,because_CS,,obama_NP,Level 0,obama_NP,Overall Importance
,,,,human_JJ,,,,,
,,,,encourage_VB,,,,,
,,,,small_JJ,,,,,
,,,,debt_NN,,,,,
,,,,defense_NN,,,,,
,,,,man_NN,,,,,
,,,,america_NP,,,,,
,,,,system_NN,,,,,
,,,,join_VB,,,,,
,,,,exactly_RB,,,,,
,,,,access_NN,,,,,
,,,,words_NNS,,,,,
,,,,goal_NN,,,,,
,,,,spending_VBG,,,,,
,,,,than_CS,,,,,
,,,,market_NN,,,,,
,,,,confidence_NN,,,,,
,,,,free_JJ,,,,,
,,,,raising_VBG,,,,,
,,,,drug_NN,,,,,
,,,,leadership_NN,,,,,
,,,,markets_NNS,,,,,
,,,,capital_NN,,,,,
,,,,security_NN,,,,,
,,,,challenge_NN,,,,,
,,,,freedom_NN,,,,,
,,,,available_JJ,,,,,
,,,,longer_RBR,,,,,
,,,,international_JJ,,,,,
,,,,interest_NN,,,,,
,,,,president_NN,,,,,
,,,,act_VB,,,,,
,,,,be_BE,,,,,
,,,,great_JJ,,,,,
,,,,administration_NN,,,,,
,,,,trust_NN,,,,,
,,,,have_HV,,,,,
,,,,trade_NN,,,,,
,,,,character_NN,,,,,
,,,,both_ABX,,,,,
,,,,nuclear_JJ,,,,,
,,,,right_JJ,,,,,
,,,,in_IN,,,,,
,,,,cost_NN,,,,,
,,,,rising_VBG,,,,,
,,,,lost_VBN,,,,,
,,,,personal_JJ,,,,,
,,,,hold_VB,,,,,
,,,,made_VBN,,,,,
,,,,must_MD,,,,,
,,,,nation's_NN$,,,,,
,,,,under_IN,,,,,
,,,,national_JJ,,,,,
,,,,within_IN,,,,,
,,,,achieve_VB,,,,,
,,,,only_RB,,,,,
,,,,fight_VB,,,,,
,,,,with_IN,,,,,
,,,,sell_VB,,,,,
,,,,whatever_WDT.,,,,,
,,,,used_VBN,,,,,
,,,,him_PPO,,,,,
,,,,again_RB,,,,,
,,,,much_AP,,,,,
,,,,political_JJ,,,,,
,,,,much_RB,,,,,
,,,,right_NN,,,,,
,,,,choices_NNS,,,,,
,,,,efforts_NNS,,,,,
,,,,friends_NNS,,,,,
,,,,action_NN,,,,,
,,,,balanced_VBN,,,,,
,,,,before_IN,,,,,
,,,,left_VBN,,,,,
,,,,america's_NP$,,,,,
,,,,experience_NN,,,,,
,,,,better_JJR,,,,,
,,,,defend_VB,,,,,
,,,,opportunities_NNS,,,,,
,,,,taxes_NNS,,,,,
,,,,raise_VB,,,,,
,,,,more_QL,,,,,
,,,,hands_NNS,,,,,
,,,,federal_JJ,,,,,
,,,,office_NN,,,,,
,,,,bad_JJ,,,,,
,,,,history_NN,,,,,
,,,,public_JJ,,,,,
,,,,as_CS,,,,,
,,,,someone_PN,,,,,
,,,,other_AP,,,,,
,,,,many_AP,,,,,
,,,,until_CS,,,,,
,,,,wealth_NN,,,,,
,,,,lead_VB,,,,,
,,,,senator_NN,,,,,
,,,,answer_NN,,,,,
,,,,courage_NN,,,,,
,,,,protect_VB,,,,,
,,,,percent_NN,,,,,
,,,,often_RB,,,,,
,,,,am_BEM,,,,,
,,,,honor_NN,,,,,
,,,,become_VB,,,,,
,,,,clinton_NP,,,,,
,,,,control_NN,,,,,
,,,,ways_NNS,,,,,
,,,,interests_NNS,,,,,
,,,,heart_NN,,,,,
,,,,seek_VB,,,,,
,,,,rights_NNS,,,,,
,,,,direction_NN,,,,,
,,,,cause_NN,,,,,
,,,,serious_JJ,,,,,
,,,,his_PP$,,,,,
,,,,power_NN,,,,,
,,,,reforms_NNS,,,,,
,,,,wrong_JJ,,,,,
,,,,record_NN,,,,,
,,,,and_CC,,,,,
,,,,never_RB,,,,,
,,,,course_NN,,,,,
,,,,my_PP$,,,,,
,,,,any_DTI,,,,,
,,,,has_HVZ,,,,,
,,,,very_QL,,,,,
,,,,business_NN,,,,,
,,,,others_NNS,,,,,
,,,,its_PP$,,,,,
,,,,such_JJ,,,,,
,,,,much_QL,,,,,
,,,,he_PPS,,,,,
,,,,case_NN,,,,,
,,,,dollars_NNS,,,,,
,,,,life_NN,,,,,
,,,,most_QL,,,,,
,,,,would_MD,,,,,
,,,,increase_NN,,,,,
,,,,to_IN,,,,,
,,,,spending_NN,,,,,
,,,,among_IN,,,,,
,,,,the_AT,,,,,
,,,,will_MD,,,,,
,,,,of_IN,,,,,
,,,,elected_VBN,,,,,
,,,,government_NN,,,,,
,,,,greater_JJR,,,,,
,,,,obama_NP,,,,,
