because_CS,0.515895546,,Mean,Median,,because_CS,0.515895546,Filter values >= Mean,because_CS,0.515895546,,because_CS,0.515895546,,because_CS,0.515895546,,Mean,Median,,because_CS,,obama_NP,-0.403758908,,Mean,Median,,obama_NP
i_PPSS,0.079539891,,,,,i_PPSS,FALSE,,,,,united_VBN,0.207840699,,,,,,,,,,,,,,,,
third_OD,0.078995302,,,,,third_OD,FALSE,,,,,working_VBG,0.207644934,,,,,,,,,,,,,,,,
republican_JJ,0.078657314,,,,,republican_JJ,FALSE,,,,,you'll_PPSS,0.207524554,,,,,,,,,,,,,,,,
first_OD,0.078337063,,,,,first_OD,FALSE,,,,,when_WRB,0.20689855,,,,,,,,,,,,,,,,
least_AP,0.07741648,,,,,least_AP,FALSE,,,,,can't_MD,0.203719568,,,,,,,,,,,,,,,,
require_VB,0.076656587,,,,,require_VB,FALSE,,,,,give_VB,0.203493051,,,,,,,,,,,,,,,,
bill_NP,0.076239511,,,,,bill_NP,FALSE,,,,,john_NP,0.199739287,,,,,,,,,,,,,,,,
three_CD,0.075108248,,,,,three_CD,FALSE,,,,,cuts_VBZ,0.198266971,,,,,,,,,,,,,,,,
ones_NNS,0.069833882,,,,,ones_NNS,FALSE,,,,,anybody_PN,0.197661084,,,,,,,,,,,,,,,,
though_CS,0.069044872,,,,,though_CS,FALSE,,,,,they'll_PPSS,0.197337836,,,,,,,,,,,,,,,,
mission_NN,0.06433456,,,,,mission_NN,FALSE,,,,,look_VB,0.19670318,,,,,,,,,,,,,,,,
stronger_JJR,0.064270249,,,,,stronger_JJR,FALSE,,,,,looking_VBG,0.196485836,,,,,,,,,,,,,,,,
having_HVG,0.064036315,,,,,having_HVG,FALSE,,,,,250_CD,0.196176056,,,,,,,,,,,,,,,,
even_RB,0.05999747,,,,,even_RB,FALSE,,,,,getting_VBG,0.196056975,,,,,,,,,,,,,,,,
rates_NNS,0.059983347,,,,,rates_NNS,FALSE,,,,,that_DT,0.195243828,,,,,,,,,,,,,,,,
risk_NN,0.056870958,,,,,risk_NN,FALSE,,,,,make_VB,0.195218886,,,,,,,,,,,,,,,,
law_NN,0.055905404,,,,,law_NN,FALSE,,,,,or_CC,0.194185953,,,,,,,,,,,,,,,,
meet_VB,0.055741939,,,,,meet_VB,FALSE,,,,,making_VBG,0.1941007,,,,,,,,,,,,,,,,
country_NN,0.055036803,,,,,country_NN,FALSE,,,,,politics_NN,0.193957945,,,,,,,,,,,,,,,,
it_PPO,0.054712504,,,,,it_PPO,FALSE,,,,,years_NNS,0.193466478,,,,,,,,,,,,,,,,
parents_NNS,0.054128633,,,,,parents_NNS,FALSE,,,,,auto_NN,0.192939257,,,,,,,,,,,,,,,,
strength_NN,0.052926659,,,,,strength_NN,FALSE,,,,,come_VB,0.192494088,,,,,,,,,,,,,,,,
opportunity_NN,0.05251325,,,,,opportunity_NN,FALSE,,,,,actually_RB,0.191510377,,,,,,,,,,,,,,,,
medical_JJ,0.051922965,,,,,medical_JJ,FALSE,,,,,doors_NNS,0.190938714,,,,,,,,,,,,,,,,
parties_NNS,0.051009779,,,,,parties_NNS,FALSE,,,,,back_RB,0.190909385,,,,,,,,,,,,,,,,
prices_NNS,0.049284215,,,,,prices_NNS,FALSE,,,,,easy_JJ,0.189330984,,,,,,,,,,,,,,,,
yes_RB,0.048332296,,,,,yes_RB,FALSE,,,,,top_NN,0.189077315,,,,,,,,,,,,,,,,
me_PPO,0.046833508,,,,,me_PPO,FALSE,,,,,don't_DO,0.188292941,,,,,,,,,,,,,,,,
truth_NN,0.046756092,,,,,truth_NN,FALSE,,,,,but_CC,0.186081529,,,,,,,,,,,,,,,,
values_NNS,0.046444239,,,,,values_NNS,FALSE,,,,,thing_NN,0.186068114,,,,,,,,,,,,,,,,
put_VB,0.044742554,,,,,put_VB,FALSE,,,,,communities_NNS,0.185258392,,,,,,,,,,,,,,,,
share_NN,0.044557497,,,,,share_NN,FALSE,,,,,maybe_RB,0.184473565,,,,,,,,,,,,,,,,
created_VBN,0.044034555,,,,,created_VBN,FALSE,,,,,still_RB,0.184163815,,,,,,,,,,,,,,,,
only_AP,0.042542334,,,,,only_AP,FALSE,,,,,neighbors_NNS,0.18389545,,,,,,,,,,,,,,,,
hard_JJ,0.041773226,,,,,hard_JJ,FALSE,,,,,running_VBG,0.18368359,,,,,,,,,,,,,,,,
too_RB,0.040892869,,,,,too_RB,FALSE,,,,,middle_JJ,0.183079826,,,,,,,,,,,,,,,,
